datetime	t	rh	u	vw_dir	p
20120901T000000	5.88	95	4.21	27.23	0
20120901T010000	5.82	95	3.94	30.73	0
20120901T020000	5.7	95	3.14	48.91	0
20120901T030000	5.81	95	2.18	90.4	0
20120901T040000	5.64	95	2.85	102.3	0
20120901T050000	5.64	95	3.27	97.1	0
20120901T060000	5.52	95	3.54	97.35	0
20120901T070000	5.38	95	3.67	100.6	0
20120901T080000	5.38	95	4.33	104.6	0
20120901T090000	5.7	95	3.83	108	0
20120901T100000	6.32	95	3.98	102.85	0
20120901T110000	7.17	95	3.86	112.8	0
20120901T120000	8.32	95	3.75	116.6	0
20120901T130000	9.16	95	3.64	111.3	0
20120901T140000	10.02	95	3.23	117.75	0
20120901T150000	11.19	95	3.51	124.65	0
20120901T160000	12	94.05	4.27	125.75	0
20120901T170000	11.68	91.75	4.77	134.35	0
20120901T180000	11.37	92.8	4	131.75	0
20120901T190000	10.98	95	3.42	126.25	0
20120901T200000	10.96	95	1.77	100.1	0
20120901T210000	9.82	95	2.33	54.64	0
20120901T220000	9.03	95	3.2	72.97	0
20120901T230000	8.98	95	4.04	83.6	0
20120902T000000	8.85	95	4.29	71.41	0
20120902T010000	8.66	95	3.38	58.04	0
20120902T020000	8.53	95	3.25	56.65	0
20120902T030000	8.34	95	2.34	50.45	0
20120902T040000	8.31	95	2.17	50.44	0
20120902T050000	8.16	95	2.38	60.07	0.87
20120902T060000	8.05	95	2.05	53.41	0.65
20120902T070000	8.32	95	2.11	36.62	0
20120902T080000	8.9	95	2.86	45.58	0.33
20120902T090000	9.17	95	3.06	47.47	0
20120902T100000	9.48	95	2.84	45.03	0.45
20120902T110000	9.96	95	3.14	37.95	0
20120902T120000	10.41	95	3.59	34.23	0
20120902T130000	11.04	93.45	4.25	39.89	0.2
20120902T140000	11.17	91.6	4.27	43.78	0
20120902T150000	10.64	95	3.72	33.41	0
20120902T160000	10.5	95	3.05	28.98	0
20120902T170000	10.3	95	2.44	27.38	0
20120902T180000	10.28	95	2.61	11.68	0
20120902T190000	9.36	95	3.56	356.6	0
20120902T200000	8.95	95	2.74	180.69	0
20120902T210000	8.66	95	2.59	345.65	0
20120902T220000	8.38	95	1.96	334.85	0
20120902T230000	8.27	95	1.57	334.95	0
20120903T000000	7.99	95	1.46	78.91	0
20120903T010000	7.57	95	1.32	88.2	0
20120903T020000	7.14	95	0.27	95.95	0
20120903T030000	7.02	95	0.58	141.35	0
20120903T040000	6.98	95	0.92	131.2	0
20120903T050000	7.05	95	1.83	124.05	0
20120903T060000	6.81	95	1.81	112.35	0
20120903T070000	6.8	95	1.71	110.25	0
20120903T080000	6.96	95	2.14	109.75	0
20120903T090000	7.54	95	2.17	115.85	0
20120903T100000	8.26	95	2.45	127.55	0
20120903T110000	9.31	95	2.13	127.2	0
20120903T120000	9.79	95	3.46	132.35	0
20120903T130000	10.18	95	4.02	134.6	0
20120903T140000	11.2	79	4.17	150	0
20120903T150000	12.4	75	5.28	110	0
20120903T160000	13.6	71	5.28	120	0
20120903T170000	13.9	68	6.11	120	0.11
20120903T180000	15.2	63	6.67	120	0
20120903T190000	13.9	70	5.56	130	0
20120903T200000	12.6	76	4.72	130	0
20120903T210000	11.4	81	4.72	130	0
20120903T220000	10.8	82	4.17	130	0
20120903T230000	10.9	85	4.17	140	0
20120904T000000	10.9	84	3.06	130	0
20120904T010000	11.1	83	3.06	130	0
20120904T020000	10.2	86	1.67	140	0
20120904T030000	10	87	1.94	130	0
20120904T040000	10.6	83	1.67	100	0
20120904T050000	10.1	86	2.5	120	0
20120904T060000	10.1	86	3.61	140	0
20120904T070000	10.7	83	1.67	140	0
20120904T080000	11.4	79	2.5	170	0
20120904T090000	12.5	76	2.5	180	0
20120904T100000	12.8	76	3.05	210	0
20120904T110000	15.12	75.15	2.21	219.05	0
20120904T120000	16.7	73.45	2.54	233.05	0
20120904T130000	17.51	66.91	2.83	260.7	0
20120904T140000	17.8	60.55	3.66	298.25	0
20120904T150000	18.32	57.36	3.61	310.05	0
20120904T160000	18.7	53.14	3.34	317.8	0
20120904T170000	19.29	48.8	2.63	293.9	0
20120904T180000	19.12	49.45	1.81	267.9	0
20120904T190000	18.42	53.16	1.95	297.85	0
20120904T200000	15.69	67.42	0.93	219.2	0
20120904T210000	13.33	75.35	0.69	135.95	0
20120904T220000	13.22	78.8	0.9	130.6	0
20120904T230000	11.48	87	1.26	178.75	0
20120905T000000	10.98	87.2	0.46	175.5	0
20120905T010000	10.26	90.55	2.92	221.85	0
20120905T020000	8.8	95	1.48	266.45	0
20120905T030000	8.46	95	3.17	233.25	0
20120905T040000	8.77	95	4.36	209.6	0
20120905T050000	9.02	95	4.4	199.05	0
20120905T060000	8.76	95	3.89	191.6	0
20120905T070000	9.39	95	4.49	185.9	0
20120905T080000	10.25	93.55	4.8	183.85	0
20120905T090000	11.23	89.1	5.62	184.9	0
20120905T100000	11.85	88.5	4.63	192.4	0
20120905T110000	13.64	79.7	5.41	200.85	0
20120905T120000	15.34	66.38	6.84	204.55	0
20120905T130000	15.86	63.53	6.52	206.65	0
20120905T140000	17.41	55.23	6.1	216.7	0
20120905T150000	18.66	47.34	6.59	221.5	0
20120905T160000	19.41	42.89	6.16	218.7	0
